Source Name	Comment [rna_tube]	Comment [sample_name]	Comment [organism]	Protocol REF	Parameter [rna_extraction]	Extract Name	Comment [rna_id]	Comment [Material Type]	Comment [comment_on_rna]	Protocol REF	Comment [lsid]	Parameter [library_protocol]	Library Name	Comment [library_id]	Protocol REF	Parameter [sequence_protocol]	Parameter [machine_name]	Parameter [run_name]	Parameter [flowcell.channel]	File Name	Comment [sequence_raw_file]	Protocol REF	Parameter [sex]	File Name
11402-118D7	11402-118D7	Mesothelial Cells, donor3	Homo sapiens	standard whole cell	standard whole cell	11402-118D7.rna	11402-118D7.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Zenbio"; cell lot:"lot:MES051607B"; cell catalog:"F-MES-F"; RNA lot number:""; RNA Catalog number:"N/A"; donor(cell lot):""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.8; A260A280:2.2; A260A230:1.38	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	1192	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	RDhi10051	RDhi10051	OP-HiSeq2000-sequencing-cBot-v3.0	OP-HiSeq2000-sequencing-cBot-v3.0	NA	NA	NA	/sequencedata/Hiseq2000/111220_SN419_0131_AD0G83ACXX/	/sequencedata/Hiseq2000/111220_SN419_0131_AD0G83ACXX/	tophat	female	Mesothelial%20Cells%2c%20donor3.RDhi10051.11402-118D7.hg19.nobarcode.bam
11381-118B4	11381-118B4	CD14+ Monocytes, donor3	Homo sapiens	standard whole cell	standard whole cell	11381-118B4.rna	11381-118B4.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"3HBiomedical"; cell lot:"N/A"; cell catalog:"N/A"; RNA lot number:"Mon727"; RNA Catalog number:"3H100-30-10"; donor(cell lot):""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:7.1; A260A280:2.34; A260A230:2.6	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	1192	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	RDhi10052	RDhi10052	OP-HiSeq2000-sequencing-cBot-v3.0	OP-HiSeq2000-sequencing-cBot-v3.0	NA	NA	NA	/sequencedata/Hiseq2000/111220_SN419_0131_AD0G83ACXX/	/sequencedata/Hiseq2000/111220_SN419_0131_AD0G83ACXX/	tophat	male	CD14%2b%20Monocytes%2c%20donor3.RDhi10052.11381-118B4.hg19.nobarcode.bam
11437-118H6	11437-118H6	Smooth Muscle Cells - Pulmonary Artery, donor3	Homo sapiens	standard whole cell	standard whole cell	11437-118H6.rna	11437-118H6.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:"Cell Applications"; cell lot:"N/A"; cell catalog:"N/A"; RNA lot number:"1055"; RNA Catalog number:"CA352-R10a"; donor(cell lot):""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:5.8; A260A280:2.09; A260A230:2.83	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	1192	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	RDhi10053	RDhi10053	OP-HiSeq2000-sequencing-cBot-v3.0	OP-HiSeq2000-sequencing-cBot-v3.0	NA	NA	NA	/sequencedata/Hiseq2000/111220_SN419_0131_AD0G83ACXX/	/sequencedata/Hiseq2000/111220_SN419_0131_AD0G83ACXX/	tophat	female	Smooth%20Muscle%20Cells%20-%20Pulmonary%20Artery%2c%20donor3.RDhi10053.11437-118H6.hg19.nobarcode.bam
11682-122H8	11682-122H8	Hepatic Sinusoidal Endothelial Cells, donor3	Homo sapiens	standard whole cell	standard whole cell	11682-122H8.rna	11682-122H8.rna	total RNA	comment:Sample category:"FANTOM5 update February1"; company:"Sciencell/3H"; RNA lot number:"4808";RNA Catalog number:"SC5005";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:2.09; A260A230:2.01	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	1192	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	RDhi10054	RDhi10054	OP-HiSeq2000-sequencing-cBot-v3.0	OP-HiSeq2000-sequencing-cBot-v3.0	NA	NA	NA	/sequencedata/Hiseq2000/111220_SN419_0131_AD0G83ACXX/	/sequencedata/Hiseq2000/111220_SN419_0131_AD0G83ACXX/	tophat	undefined_sex_type	Hepatic%20Sinusoidal%20Endothelial%20Cells%2c%20donor3.RDhi10054.11682-122H8.hg19.nobarcode.bam
11487-119E2	11487-119E2	Mast cell - stimulated, donor1	Homo sapiens	standard whole cell	standard whole cell	11487-119E2.rna	11487-119E2.rna	total RNA	comment:Sample category:"FANTOM5 snapshot"; company:""; cell lot:""; cell catalog:""; RNA lot number:""; RNA Catalog number:""; donor(cell lot):""; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.5; A260A280:2.17; A260A230:2.46	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	1192	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	RDhi10093	RDhi10093	OP-HiSeq2000-sequencing-cBot-v3.0	OP-HiSeq2000-sequencing-cBot-v3.0	NA	NA	NA	/sequencedata/Hiseq2000/111222_SN554_0107_BD0H31ACXX/	/sequencedata/Hiseq2000/111222_SN554_0107_BD0H31ACXX/	tophat	female	Mast%20cell%20-%20stimulated%2c%20donor1.RDhi10093.11487-119E2.hg19.nobarcode.bam
11933-125I7	11933-125I7	Olfactory epithelial cells, donor1	Homo sapiens	standard whole cell	standard whole cell	11933-125I7.rna	11933-125I7.rna	total RNA	comment:Sample category:"FANTOM5 update 02Aug2011";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:9.6; A260A280:2; A260A230:2.01	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	1192	OP-Illumina-Directional_RNA_seq-single_end-v1.0 (Ribo-Zero)	RDhi10094	RDhi10094	OP-HiSeq2000-sequencing-cBot-v3.0	OP-HiSeq2000-sequencing-cBot-v3.0	NA	NA	NA	/sequencedata/Hiseq2000/111222_SN554_0107_BD0H31ACXX/	/sequencedata/Hiseq2000/111222_SN554_0107_BD0H31ACXX/	tophat	male	Olfactory%20epithelial%20cells%2c%20donor1.RDhi10094.11933-125I7.hg19.nobarcode.bam
12179-129A1	12179-129A1	Whole blood (ribopure), donor090309, donation1	Homo sapiens	standard whole cell	standard whole cell	12179-129A1.rna	12179-129A1.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090309-02";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:7.1; A260A280:1.96; A260A230:2.06	OP-Illumina-Directional_RNA_seq-single_end-v0.6	880	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10000	RDhi10000	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	tophat	female	Whole%20blood%20%28ribopure%29%2c%20donor090309%2c%20donation1.RDhi10000.12179-129A1.hg19.nobarcode.bam
12180-129A2	12180-129A2	Whole blood (ribopure), donor090309, donation2	Homo sapiens	standard whole cell	standard whole cell	12180-129A2.rna	12180-129A2.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090309-03";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:7.3; A260A280:1.94; A260A230:2.19	OP-Illumina-Directional_RNA_seq-single_end-v0.6	880	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10001	RDhi10001	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	tophat	female	Whole%20blood%20%28ribopure%29%2c%20donor090309%2c%20donation2.RDhi10001.12180-129A2.hg19.nobarcode.bam
12181-129A3	12181-129A3	Whole blood (ribopure), donor090309, donation3	Homo sapiens	standard whole cell	standard whole cell	12181-129A3.rna	12181-129A3.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090309-04";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:NULL; A260A280:1.98; A260A230:1.97	OP-Illumina-Directional_RNA_seq-single_end-v0.6	880	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10002	RDhi10002	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	tophat	female	Whole%20blood%20%28ribopure%29%2c%20donor090309%2c%20donation3.RDhi10002.12181-129A3.hg19.nobarcode.bam
12182-129A4	12182-129A4	Whole blood (ribopure), donor090612, donation1	Homo sapiens	standard whole cell	standard whole cell	12182-129A4.rna	12182-129A4.rna	total RNA	comment:Sample category:"FANTOM5 update November1"; cell lot:"090612-02";; rna_sample_type:total RNA; extract_method:standard whole cell; RIN:7.2; A260A280:2.07; A260A230:2.11	OP-Illumina-Directional_RNA_seq-single_end-v0.6	880	OP-Illumina-Directional_RNA_seq-single_end-v0.6	RDhi10003	RDhi10003	OP-HiSeq2000-sequencing-cBot-v1.0	OP-HiSeq2000-sequencing-cBot-v1.0	NA	NA	NA	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	/sequencedata/Hiseq2000/110510_SN419_0100_A81FKLABXX/	tophat	female	Whole%20blood%20%28ribopure%29%2c%20donor090612%2c%20donation1.RDhi10003.12182-129A4.hg19.nobarcode.bam
